id_estudo,titulo,classificacao,setor_primario,familia_mecanismo,camada_normalizada,pagina_evidencia,trecho_evidencia,arquivo_pdf,hash_pdf,status_validacao
CAND-000003__b2eab0fd,Auditing large language models: a three-layered approach,evidencia_central,Tecnologia e operações empresariais,Compliance e gestão de risco,Organizacional,1,Auditing large language models: a three‑layered approach,arquivos_tratados_aigovernanca/fulltext_repository/pdfs/CAND-000003__b2eab0fd.pdf,a03b71802c1e742a223f39d8fabcd363e75b53f217e7abe72282a46c45b3f2f1,validado_pelo_autor
CAND-000003__b2eab0fd,Auditing large language models: a three-layered approach,evidencia_central,Tecnologia e operações empresariais,Compliance e gestão de risco,Regulatória,1,Auditing large language models: a three‑layered approach,arquivos_tratados_aigovernanca/fulltext_repository/pdfs/CAND-000003__b2eab0fd.pdf,a03b71802c1e742a223f39d8fabcd363e75b53f217e7abe72282a46c45b3f2f1,validado_pelo_autor
CAND-000003__b2eab0fd,Auditing large language models: a three-layered approach,evidencia_central,Tecnologia e operações empresariais,Accountability e auditoria,Organizacional,1,Auditing large language models: a three‑layered approach,arquivos_tratados_aigovernanca/fulltext_repository/pdfs/CAND-000003__b2eab0fd.pdf,a03b71802c1e742a223f39d8fabcd363e75b53f217e7abe72282a46c45b3f2f1,validado_pelo_autor
CAND-000003__b2eab0fd,Auditing large language models: a three-layered approach,evidencia_central,Tecnologia e operações empresariais,Accountability e auditoria,Regulatória,1,Auditing large language models: a three‑layered approach,arquivos_tratados_aigovernanca/fulltext_repository/pdfs/CAND-000003__b2eab0fd.pdf,a03b71802c1e742a223f39d8fabcd363e75b53f217e7abe72282a46c45b3f2f1,validado_pelo_autor
CAND-000013__0067a2ed,Designing with Uncertainty: LLM Interfaces as Transitional Spaces for Democratic Revival,evidencia_apoio,Multissetorial,Compliance e gestão de risco,Interacional,1,Implementation would require institutional transformations that align technological development with democratic values beyond current procedural approaches to AI governance.,arquivos_tratados_aigovernanca/fulltext_repository/pdfs/CAND-000013__0067a2ed.pdf,f078625f0c36ba4e2804c617dd998d5e5d37d372ad9578c45f8d17a4940be561,validado_pelo_autor
CAND-000013__0067a2ed,Designing with Uncertainty: LLM Interfaces as Transitional Spaces for Democratic Revival,evidencia_apoio,Multissetorial,Compliance e gestão de risco,Organizacional,1,Implementation would require institutional transformations that align technological development with democratic values beyond current procedural approaches to AI governance.,arquivos_tratados_aigovernanca/fulltext_repository/pdfs/CAND-000013__0067a2ed.pdf,f078625f0c36ba4e2804c617dd998d5e5d37d372ad9578c45f8d17a4940be561,validado_pelo_autor
CAND-000013__0067a2ed,Designing with Uncertainty: LLM Interfaces as Transitional Spaces for Democratic Revival,evidencia_apoio,Multissetorial,Compliance e gestão de risco,Regulatória,1,Implementation would require institutional transformations that align technological development with democratic values beyond current procedural approaches to AI governance.,arquivos_tratados_aigovernanca/fulltext_repository/pdfs/CAND-000013__0067a2ed.pdf,f078625f0c36ba4e2804c617dd998d5e5d37d372ad9578c45f8d17a4940be561,validado_pelo_autor
CAND-000013__0067a2ed,Designing with Uncertainty: LLM Interfaces as Transitional Spaces for Democratic Revival,evidencia_apoio,Multissetorial,"Explicabilidade, confiança e limites",Interacional,1,Implementation would require institutional transformations that align technological development with democratic values beyond current procedural approaches to AI governance.,arquivos_tratados_aigovernanca/fulltext_repository/pdfs/CAND-000013__0067a2ed.pdf,f078625f0c36ba4e2804c617dd998d5e5d37d372ad9578c45f8d17a4940be561,validado_pelo_autor
CAND-000013__0067a2ed,Designing with Uncertainty: LLM Interfaces as Transitional Spaces for Democratic Revival,evidencia_apoio,Multissetorial,"Explicabilidade, confiança e limites",Organizacional,1,Implementation would require institutional transformations that align technological development with democratic values beyond current procedural approaches to AI governance.,arquivos_tratados_aigovernanca/fulltext_repository/pdfs/CAND-000013__0067a2ed.pdf,f078625f0c36ba4e2804c617dd998d5e5d37d372ad9578c45f8d17a4940be561,validado_pelo_autor
CAND-000013__0067a2ed,Designing with Uncertainty: LLM Interfaces as Transitional Spaces for Democratic Revival,evidencia_apoio,Multissetorial,"Explicabilidade, confiança e limites",Regulatória,1,Implementation would require institutional transformations that align technological development with democratic values beyond current procedural approaches to AI governance.,arquivos_tratados_aigovernanca/fulltext_repository/pdfs/CAND-000013__0067a2ed.pdf,f078625f0c36ba4e2804c617dd998d5e5d37d372ad9578c45f8d17a4940be561,validado_pelo_autor
